,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
1175,Costa Rica,CRI,2017,0.213890053455,0.843752675288,0.289341841884,2.93682933508,0.778956239284,2.90478753344,1.47259436533,2.49796894712,3.26706798702,4950000.0,7.80347152698682,2731.17646771,4950000.0,137127.974831,3.19182266372,1.09027015313999,3.10171110054999,4.77693714858,3.44354079763,2.48512846284,3.34248067667,4.67462657055,2.90478753344,3.36630704914999
1203,Cote d'Ivoire,CIV,2017,0.170171181685,0.620476935449,0.136217031764,2.87931205349,0.503956745354,3.33798890428,1.00997384249,2.74994870233,3.98384691836,24437000.0,13.859903239805,3281.07642817,24437000.0,607002.189268,3.01947177,1.06556239399999,2.49084218700999,7.3586946241,3.71399194896,2.39287284193,3.38283440234,6.09512690897,3.33798890428,3.48506535852
1231,Croatia,HRV,2017,0.207565417697999,0.720555576168,0.217975135979,3.44760593314,0.71397120114,2.77984173234,2.08053234184,2.38441571577,3.12498324218,4183000.0,11.0595306179879,2611.86298828,4183000.0,150458.57997,2.86694598446,1.01562746004,3.64584589573,6.1721216478,2.83853584654,2.30331136927,2.82232885022,4.85520987959,2.77984173234,3.02653705896
1259,Cuba,CUB,2017,0.204500994144,0.943329308668,0.263159252746999,4.62359397015,0.777999682384,3.31913091377,1.73478334696,2.75294029614,3.8622707487,11339000.0,11.2887854956894,3135.07572722,11339000.0,449705.334844,3.15988096887,1.29836856409,4.09462027628,6.08224464733,3.4962010242,2.76215057552,3.29553207645,5.86992215421,3.31913091377,3.76082383516999
1287,Cyprus,CYP,2017,0.252271953776,0.937285429366,0.506721279036,5.30490840366,0.580207570183999,3.32811079018,1.11035426317,2.2960542392,4.31127994877,1180000.0,4.63015026043942,3080.22167764,1180000.0,45768.4368719,3.83517536118,1.77822334986,3.80158573149,4.42882486629,4.19443410535,3.28996504888,4.00210149272,4.42066218568,3.32811079018,4.17880741365
1315,Czech Republic,CZE,2017,0.20998906177,0.721569535067,0.242372761022,3.44360099073,0.978265046648,2.67538746628,2.09717245633,2.26764241086,3.03951026565,10641000.0,10.7666275634017,2509.62877481,10641000.0,345401.668286,2.84234005754,0.984269857497,3.38806571959,5.35570382326,2.90600361428,2.25547250944,2.8616425152,4.55694583619,2.67538746628,3.05926117838
1343,Democratic Republic of Congo,COD,2017,0.156882784972,0.622140919049,0.0925419775354999,3.25156993042999,0.517093640564,3.95687176402,1.34111272929,3.45507099728,4.42763642239,81399000.0,11.5798515749227,3918.42650823,81399000.0,2415311.93898,4.62650933586,1.46560485846999,3.02983855835,7.25296529125,4.74649466352,3.6235174555,4.64790660638,6.3048510347,3.95687176402,4.62996953681
1371,Denmark,DNK,2017,0.254016902974,1.00549354065999,0.540025324966,5.31463454993,0.895411338306,3.29188532482,1.73072313273,2.48950552876999,4.07657971935,5732000.0,8.8002797463709,3033.45173338,5732000.0,207520.301488,3.56684737419,1.41219235522,3.80430899771999,4.45144887886,4.1086727445,2.78884557404,3.81953005293,4.64798584922,3.29188532482,4.08254756063
1399,Djibouti,DJI,2017,0.175443945619,0.657574537076,0.136660105677,3.57064967671,0.526750457444999,3.60901012937,1.5922370727,3.07788080302,4.20434117758,944000.0,8.44349010335524,3476.28575104,944000.0,32852.8299606,3.33405941841,1.61328865124,3.08408319655,7.75231684704,3.76857174826,3.23982589258,3.51854005608,6.27882063231,3.60901012937,3.8339575417
1427,Dominica,DMA,2017,0.199904066276,0.888732141375,0.277126535179,4.54490373452,0.895649975950999,2.62964873616,2.10068906318,2.18400797716,3.09099125348,71000.0,4.53668416894392,2513.75402497,71000.0,1943.60213704,2.78477032324,1.24458779158999,2.91743730407,4.31038878112,3.00609761324,2.51590862877,2.88179995046,4.25142034271,2.62964873616,3.05646017819
